# 
# 05/11/2026 01:18:06
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P3 - Force Z Component [N],P29 - Mass [kg],P30 - K factor,P31 - Angle [degree],P4 - Equivalent Stress Maximum [MPa],P5 - Equivalent Stress Average [MPa],P6 - Maximum Principal Stress Maximum [MPa],P7 - Maximum Principal Stress Minimum [MPa],P8 - Maximum Principal Stress Average [MPa],P9 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Maximum [mm],P26 - Safety Factor (neck) Minimum,P27 - Safety Factor (STEM 2) Minimum,P28 - Safety Factor (STEM 1) Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P3,P29,P30,P31,P4,P5,P6,P7,P8,P9,P16,P26,P27,P28
DP 27,2452.5,0,50,5,0,760.5794268070938,15.48861775801401,837.44091588902893,-207.63396774143683,7.5044842010633079,1.7150980315967358E-09,1.0976811994019811,1.0873289111588771,2.2846683286833072,1.163808795529953
DP 28,2415.24,425.87,50,5,10,698.79039718013541,14.019136589094755,744.57032785632134,-193.56482551194662,6.570829731989873,8.3046522750436081E-10,0.965865547370381,1.1834736186090073,2.8964490874958924,1.2674917347008734
DP 29,2304.6,838.8,50,5,20,615.7725643978057,12.175993929043511,629.07866387037586,-173.44010060676396,5.4653506731690715,7.1025727462726026E-10,0.80481037996263,1.3430283319114162,4.1234238691767535,1.4394648749947481
DP 30,1962,0,50,4,0,608.46354615745054,12.390894202356527,669.95273671490543,-166.10717311531005,6.0035873636973038,1.4188656696388038E-09,0.8781449362546887,1.3591611284236236,2.855835395449525,1.4547610423838155
DP 31,1932.19,340.7,50,4,10,559.03121514676354,11.215285329836798,595.65482235082527,-154.85159156331642,5.2566501427026813,1.2388384912925207E-09,0.77269043867034293,1.4793449410206654,3.6205765730847994,1.5843677681657853
DP 32,1843.68,671.04,50,4,20,492.6180661510615,9.7407951315725185,503.26293761286615,-138.75208458521342,4.3722805559851,1.1125082328087721E-09,0.6438482924032829,1.6787853650223217,5.1542797525156585,1.7993311202385016
DP 33,2207.25,0,50,4.5,0,684.521479455188,13.939755991869882,753.69682378042228,-186.87057342612385,6.7540358241992742,1.2351708206438364E-09,0.98791306877925722,1.2081432428653822,2.5385203453399043,1.2931209319846004
DP 34,2173.72,383.28,50,4.5,10,628.91293985728817,12.617256702514865,670.11523081162807,-174.20876750539179,5.9137647135984128,1.4258852677575671E-09,0.8692815431308426,1.3149673787721101,3.2182631150376024,1.408320541268115
DP 35,2074.14,754.92,50,4.5,20,554.19531173775954,10.958394524163628,566.17079685256351,-156.09609642066081,4.91881562293159,1.3191052491140825E-09,0.72432936547048077,1.4922536919462956,4.5815819845629555,1.5994054594449538
DP 36,2452.5,0,50,5,0,760.57942680684243,15.488617758171968,837.4409158880145,-207.63396772144975,7.5044842033103665,1.6858358377576868E-09,1.0976811994019811,1.0873289111592361,2.2846683286833072,1.163808795530668
DP 37,2415.24,425.87,50,5,10,698.790397375459,14.019136593304571,744.57032785530339,-193.56482537695879,6.5708297343948612,1.054570540333612E-09,0.965865547370381,1.1834736182782062,2.8964490875952515,1.2674917353948163
DP 38,2304.6,838.8,50,5,20,615.77256439780729,12.175993929110701,629.07866386935325,-173.44010060657803,5.4653506791955389,6.9031310676834149E-10,0.80481037996263,1.3430283319114122,4.1234238691767535,1.4394648749969676
DP 39,2697.75,0,50,5.5,0,836.63737031477342,17.037479539033615,921.18500069274512,-228.39737401766013,8.2549326624372821,1.5154837447940164E-09,1.2074493319266455,0.98848082734919318,2.076971187583589,1.0580080169477113
DP 40,2656.77,468.46,50,5.5,10,768.67094171701547,15.421079558511391,819.02883788462964,-212.92173727426984,7.22792535009996,9.0651779482424944E-10,1.0624539929208616,1.0758830015776217,2.6331322759837867,1.1522629752888831
DP 41,2535.06,922.68,50,5.5,20,677.34982965777044,13.393593310793223,691.98653314149419,-190.78411888849715,6.0118857608382461,1.7401362466804948E-09,0.88529145376837692,1.220934831293661,3.7485671059539447,1.3086044511373602
DP 42,2943,0,50,6,0,912.695317281207,18.586341310101808,1004.9290964421444,-249.16076121724214,9.005381051620942,1.9640534969624285E-09,1.317217464450158,0.90610742088994012,1.9038902413942889,0.96984069573684939
DP 43,2898.29,511.05,50,6,10,838.548370857396,16.822959476152313,893.4839541174631,-232.27780075447814,7.8849904198368552,9.4048778660781027E-10,1.15903787866154,0.98622813989181324,2.4137125752088595,1.0562432433695401
DP 44,2765.52,1006.57,50,6,20,738.9259022183943,14.611165576057525,754.89251967933376,-208.12786588488092,6.5584025914311441,1.6447155889285429E-09,0.96576975139749754,1.1191920563580064,3.4362101956624485,1.1995560247662631
DP 45,1177.2,0,60,2,0,365.07813283017242,7.4345365218309771,401.97164094515921,-99.664306307176261,3.6021524206046163,8.0313441762328887E-10,0.526886950309444,2.2652685155062549,4.75972569737682,2.4246016733662352
DP 46,1159.32,204.42,60,2,10,335.42058735846666,6.7292090157604667,357.39494105297621,-92.9114612704503,3.1540083882226089,5.1404171531040273E-10,0.46361696329493124,2.4655612421195197,6.0342550470929437,2.6405983020702744
DP 47,1106.21,402.63,60,2,20,295.57074328777634,5.844473354314303,301.95730789749194,-83.2512611559611,2.6233634484772934,3.4361729865035962E-10,0.38630826296925347,2.7979765209535938,8.5905289386110191,2.9988861369352207
DP 48,1471.5,0,60,2.5,0,456.34765161609045,9.2931706581514533,502.46454263108217,-124.58038139862981,4.5026905453340182,8.1637761024049059E-10,0.658608732225367,1.8122148696751188,3.807780483036153,1.9396814126021147
DP 49,1449.14,255.52,60,2.5,10,419.27322223244158,8.4114624159249676,446.74120525539104,-116.1386078720604,3.9424894213634158,6.2735386681531647E-10,0.5795180481301978,1.9724608111068875,4.8274222111555209,2.1124912767260304
DP 50,1382.76,503.28,60,2.5,20,369.46353858237319,7.3055963492627827,377.44720018666158,-104.06406235984927,3.2792104146619865,8.5229588490568405E-10,0.4828862341302631,2.2383805535268464,6.8723731752963744,2.3991081504566005
DP 51,1765.8,0,60,3,0,547.61718444962332,11.151804787659774,602.957452891014,-149.49645996906341,5.4032286486868291,9.7919391484544789E-10,0.79033045407294911,1.510179051139835,3.1731504690557042,1.6164011557306581
